,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
167,Erzin,36.9559,36.2,44.47,62,0,2.48,TR,2022-03-28 00:08:00,clear sky
168,Haines Junction,60.7522,-137.5108,32.29,74,97,2.82,CA,2022-03-28 00:08:01,overcast clouds
169,Husavik,66.0449,-17.3389,23.92,68,50,5.48,IS,2022-03-28 00:08:01,scattered clouds
170,Preganziol,45.6014,12.2372,51.94,84,100,2.3,IT,2022-03-28 00:08:02,fog
171,Yarmouth,41.7057,-70.2286,44.74,53,100,18.01,US,2022-03-28 00:08:03,overcast clouds
172,Campanario,38.8644,-5.6174,50.59,73,85,6.44,ES,2022-03-28 00:08:03,overcast clouds
173,Manitouwadge,49.1215,-85.8403,7.83,73,100,10.31,CA,2022-03-28 00:08:04,overcast clouds
174,Kichmengskiy Gorodok,59.9816,45.7854,15.21,89,100,12.06,RU,2022-03-28 00:08:05,overcast clouds
175,Tiruchchendur,8.4833,78.1167,80.26,81,9,4.81,IN,2022-03-28 00:08:05,clear sky
176,Ajdabiya,30.7554,20.2263,62.06,24,10,14.65,LY,2022-03-28 00:08:06,clear sky
177,San Buenaventura,27.0833,-101.5333,88.45,11,69,14.16,MX,2022-03-28 00:08:06,broken clouds
178,Denpasar,-8.65,115.2167,78.46,94,20,2.3,ID,2022-03-28 00:08:07,few clouds
179,Noratus,40.3755,45.1772,21.92,75,29,10.49,AM,2022-03-28 00:08:08,scattered clouds
180,Yerofey Pavlovich,53.9667,121.9667,21.04,80,92,3.89,RU,2022-03-28 00:08:08,overcast clouds
181,Hualmay,-11.0964,-77.6139,71.71,80,98,9.84,PE,2022-03-28 00:08:09,overcast clouds
182,Uray,60.1247,64.7758,21.18,91,100,13.33,RU,2022-03-28 00:08:09,overcast clouds
183,Port Elizabeth,-33.918,25.5701,65.1,99,84,1.01,ZA,2022-03-28 00:08:10,broken clouds
184,Aswan,24.0934,32.907,62.42,14,92,14.32,EG,2022-03-28 00:09:10,overcast clouds
185,Pinczow,50.5205,20.5265,35.85,47,12,6.11,PL,2022-03-28 00:09:11,few clouds
186,Presidencia Roque Saenz Pena,-26.7852,-60.4388,70.84,55,0,6.64,AR,2022-03-28 00:09:12,clear sky
187,Kaitangata,-46.2817,169.8464,65.46,63,4,4.68,NZ,2022-03-28 00:09:12,clear sky
188,Zhanakorgan,43.9098,67.2495,39.52,58,4,7.23,KZ,2022-03-28 00:09:13,clear sky
189,Saint George,37.1041,-113.5841,84.43,9,0,13.8,US,2022-03-28 00:09:13,clear sky
190,Odweyne,9.4092,45.064,69.4,20,43,15.37,SO,2022-03-28 00:09:14,scattered clouds
191,Jaciara,-15.9653,-54.9683,73.13,91,84,1.48,BR,2022-03-28 00:09:15,broken clouds
192,Novaya Igirma,57.1334,103.9112,12.43,93,100,6.91,RU,2022-03-28 00:09:15,overcast clouds
193,Ayan,56.45,138.1667,16.83,77,24,3.4,RU,2022-03-28 00:09:16,few clouds
194,Gushikawa,26.3544,127.8686,63.63,82,100,14.97,JP,2022-03-28 00:09:16,overcast clouds
195,Caravelas,-17.7125,-39.2481,76.03,84,1,5.1,BR,2022-03-28 00:09:17,clear sky
196,Bull Savanna,17.8868,-77.5902,75.34,74,84,1.3,JM,2022-03-28 00:09:17,broken clouds
197,Kenai,60.5544,-151.2583,39.02,60,100,19.57,US,2022-03-28 00:09:18,overcast clouds
198,Kalmar,56.6616,16.3616,45.14,74,6,13.8,SE,2022-03-28 00:09:18,clear sky
199,Rudnichnyy,59.617,52.4703,18.25,93,99,9.01,RU,2022-03-28 00:09:19,light snow
200,Baiquan,47.5833,126.0833,34.9,50,78,11.16,CN,2022-03-28 00:09:19,broken clouds
201,Ketchikan,55.3422,-131.6461,52.27,43,0,11.5,US,2022-03-28 00:09:20,clear sky
202,Usolye,59.4268,56.6808,31.75,97,100,9.53,RU,2022-03-28 00:09:20,light snow
203,Payo,-3.7508,103.6372,72.46,95,74,1.92,ID,2022-03-28 00:09:21,broken clouds
204,College,64.8569,-147.8028,40.95,57,40,3.44,US,2022-03-28 00:09:22,scattered clouds
205,Naze,28.3667,129.4833,63.0,58,94,15.93,JP,2022-03-28 00:09:23,overcast clouds
206,Port Hardy,50.6996,-127.4199,43.86,95,100,8.57,CA,2022-03-28 00:07:18,light rain
207,Griffith,41.5284,-87.4237,33.15,61,0,9.22,US,2022-03-28 00:09:23,clear sky
208,Grindavik,63.8424,-22.4338,41.47,87,100,13.8,IS,2022-03-28 00:09:24,overcast clouds
209,Belmonte,-15.8631,-38.8828,78.03,81,16,6.26,BR,2022-03-28 00:09:25,few clouds
210,Diego De Almagro,-26.3667,-70.05,68.32,38,0,2.1,CL,2022-03-28 00:09:25,clear sky
211,Carnarvon,-24.8667,113.6333,77.07,73,1,6.91,AU,2022-03-28 00:09:26,clear sky
212,Byron Bay,-28.65,153.6167,69.94,91,99,5.35,AU,2022-03-28 00:09:26,light rain
213,Mar Del Plata,-38.0023,-57.5575,61.88,74,0,5.01,AR,2022-03-28 00:08:24,clear sky
214,Fortuna,40.5982,-124.1573,64.92,68,40,5.75,US,2022-03-28 00:09:27,scattered clouds
215,Riyadh,24.6877,46.7219,57.34,28,0,8.41,SA,2022-03-28 00:07:06,clear sky
216,Pevek,69.7008,170.3133,-9.11,93,42,7.43,RU,2022-03-28 00:09:27,scattered clouds
217,San Vicente,-26.6167,-54.1333,61.29,86,0,3.02,AR,2022-03-28 00:09:28,clear sky
218,La Malbaie,47.6575,-70.1559,31.66,92,100,4.47,CA,2022-03-28 00:09:28,overcast clouds
219,Chrzanow,50.1355,19.402,44.85,47,13,3.18,PL,2022-03-28 00:09:29,few clouds
220,Hirosaki,40.5931,140.4725,45.68,60,55,16.04,JP,2022-03-28 00:09:29,broken clouds
221,Bengkulu,-3.8004,102.2655,73.85,86,59,4.94,ID,2022-03-28 00:06:02,broken clouds
222,Ritchie,-29.038,24.6028,67.51,38,18,7.99,ZA,2022-03-28 00:09:30,few clouds
223,Plainview,40.7765,-73.4673,38.61,54,100,10.0,US,2022-03-28 00:08:58,overcast clouds
224,Wyoming,43.0002,-107.5009,65.1,19,79,15.37,US,2022-03-28 00:09:31,broken clouds
225,Acandi,8.5063,-77.2778,77.81,91,97,8.3,CO,2022-03-28 00:09:32,overcast clouds
226,Krasnyy Yar,46.5331,48.3456,35.53,64,96,18.19,RU,2022-03-28 00:09:33,overcast clouds
227,Kidal,18.4411,1.4078,80.82,8,18,9.95,ML,2022-03-28 00:09:33,few clouds
228,Ust-Tsilma,65.441,52.1498,8.73,94,100,8.34,RU,2022-03-28 00:09:34,overcast clouds
229,Cadiz,36.5,-5.75,59.13,81,100,18.5,ES,2022-03-28 00:09:34,overcast clouds
230,Sorong,-0.8833,131.25,80.76,82,96,1.59,ID,2022-03-28 00:10:35,overcast clouds
231,Boa Vista,2.8197,-60.6733,79.21,72,98,4.41,BR,2022-03-28 00:10:35,overcast clouds
232,Ponta Delgada,37.7333,-25.6667,59.72,88,40,11.5,PT,2022-03-28 00:10:36,scattered clouds
233,Sao Filipe,14.8961,-24.4956,70.38,73,100,7.29,CV,2022-03-28 00:10:36,overcast clouds
234,Darhan,49.4867,105.9228,25.92,66,100,16.93,MN,2022-03-28 00:10:37,overcast clouds
235,Balykshi,47.0667,51.8667,39.2,87,75,17.9,KZ,2022-03-28 00:10:37,mist
236,Astana,51.1801,71.446,30.15,93,100,13.42,KZ,2022-03-28 00:10:38,light snow
237,Seymchan,62.8833,152.4333,1.72,90,96,3.4,RU,2022-03-28 00:10:39,overcast clouds
238,Camana,-16.6228,-72.7111,70.54,82,73,6.85,PE,2022-03-28 00:10:39,broken clouds
239,Ust-Omchug,61.15,149.6333,2.73,91,82,7.74,RU,2022-03-28 00:10:40,broken clouds
240,Khandyga,62.6667,135.6,6.24,81,84,3.0,RU,2022-03-28 00:10:40,broken clouds
241,Longyearbyen,78.2186,15.6401,4.84,72,46,17.27,SJ,2022-03-28 00:05:45,scattered clouds
242,Shagonar,51.5333,92.8,17.91,95,100,0.72,RU,2022-03-28 00:10:41,overcast clouds
243,Taksimo,56.3444,114.8794,11.71,78,96,4.56,RU,2022-03-28 00:10:42,overcast clouds
244,Esperance,-33.8667,121.9,63.75,67,95,12.68,AU,2022-03-28 00:10:42,overcast clouds
245,Tirano,46.2154,10.1679,50.18,60,0,4.56,IT,2022-03-28 00:10:43,clear sky
246,Tilichiki,60.4667,166.1,10.69,79,100,10.07,RU,2022-03-28 00:10:43,overcast clouds
247,Paradise Valley,33.5312,-111.9427,94.21,7,0,9.22,US,2022-03-28 00:07:58,clear sky
248,Palana,59.1167,159.9667,26.35,63,99,20.27,RU,2022-03-28 00:10:44,overcast clouds
249,Christchurch,-43.5333,172.6333,65.95,76,100,17.27,NZ,2022-03-28 00:06:00,overcast clouds
250,Valdivia,-39.8142,-73.2459,47.37,91,0,2.39,CL,2022-03-28 00:10:45,clear sky
251,Kannur,11.8675,75.3576,78.39,88,7,4.5,IN,2022-03-28 00:10:45,clear sky
252,Mlonggo,-6.5333,110.7,80.94,81,80,7.23,ID,2022-03-28 00:10:46,broken clouds
253,Kresna,41.7333,23.15,50.14,61,32,2.62,BG,2022-03-28 00:10:47,scattered clouds
254,Lerwick,60.1545,-1.1494,46.4,86,5,17.18,GB,2022-03-28 00:10:47,clear sky
255,Port Lincoln,-34.7333,135.8667,68.58,74,19,8.39,AU,2022-03-28 00:10:48,few clouds
256,Pudem,58.3044,52.1675,18.66,94,98,8.5,RU,2022-03-28 00:10:48,overcast clouds
257,Iracoubo,5.4802,-53.2011,77.61,85,96,12.86,GF,2022-03-28 00:10:49,overcast clouds
258,Coihaique,-45.5752,-72.0662,48.15,87,75,10.36,CL,2022-03-28 00:10:49,light rain
259,Kollam,8.8833,76.6,78.6,86,9,2.98,IN,2022-03-28 00:10:50,clear sky
